"COALINEA","NOALINEA"
"294101","Resgate de Títulos do Tesouro                                         "
"299999","Outras Receitas de Capital                                            "
"711200","Impostos sobre o Patrimônio                                           "
"731101","Aluguéis, Arrendamentos, Foros, Laudêmios, Tarifas de Ocupação        "
"135101","Outorga de Direito de Uso ou de Exploração de Criação Protegida - Inst"
"132102","Remuneração de Depósitos Especiais                                    "
"132105","Juros de Títulos de Renda                                             "
"171955","Outras Transferências para Segurança Pública                          "
"171350","Transferências de Recursos do Sistema Único de Saúde - SUS - Repasses "
"171958","Transferência Obrigatória Decorrente da Lei Complementar nº 176/2020  "
"172253","Outras Transferências Decorrentes de Compensações Financeiras         "
"172952","Transferências de Recursos Destinados a Programas de Educação         "
"192212","Restituição de Depósitos de Setenças Judiciais não Sacados            "
"171198","Cota-Parte do Imposto Sobre Operações de Crédito, Câmbio e Seguro, ou "
"192251","Restituições de Recursos Recebidos do FUNDEB                          "
"242950","Transferências dos Estados e Distrito Federal a Consórcios Públicos   "
"162103","Serviços Portuários                                                   "
"244150","Transferências de Convênios de Instituições Privadas Destinados a Prog"
"161150","Serviços de Administração Previdenciária                              "
"772000","Transferências dos Estados e do Distrito Federal e de suas Entidades  "
"161101","Serviços Administrativos e Comerciais Gerais                          "
"161102","Inscrição em Concursos e Processos Seletivos                          "
"151000","Receita Industrial                                                    "
"792300","Ressarcimentos                                                        "
"179900","Outras Transferências Correntes                                       "
"191100","Multas Administrativas, Contratuais e Judiciais                       "
"122106","Contribuição sobre as Receitas de Concessionárias e Permissionárias de"
"761101","Serviços Administrativos e Comerciais Gerais                          "
"164101","Retorno de Operações, Juros e Encargos Financeiros                    "
"164102","Concessão de Avais, Garantias e Seguros                               "
"169900","Outros Serviços                                                       "
"244151","Transferências de Convênios de Instituições Privadas Destinados a Prog"
"121503","Contribuição do Servidor Civil - Parcelamentos                        "
"199902","Aportes Periódicos para Compensações ao RGPS                          "
"199904","Contribuição ao Montepio Civil                                        "
"194300","Multas e Juros de Mora das Alienações de Bens Intangíveis             "
"194400","Multas e Juros de Mora das Amortizações de Empréstimos                "
"194402","Multas e Juros de Mora de Amortização Proveniente da Execução de Garan"
"194405","Multas e Juros de Mora de Amortização de Empréstimos - Programa das Op"
"241300","Transferências de Recursos do Fundo Nacional de Assistência Social ¿ F"
"199999","Outras Receitas                                                       "
"299900","Outras Receitas de Capital                                            "
"194101","Multas e Juros de Mora da Alienação de Investimentos                  "
"194200","Multas e Juros de Mora das Alienações de Bens Imóveis                 "
"194202","Multas e Juros de Mora das Alienações de Bens Imóveis - Programa de Ad"
"171456","Transferências referentes ao  Programa de Apoio aos Sistemas de Ensino"
"171459","Transferências referentes ao Programa de Apoio à Reestruturação da Red"
"171499","Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da "
"171551","Transferências de Recursos de Complementação da União ao Fundeb - VAAF"
"799900","Outras Receitas Correntes                                             "
"763000","Serviços e Atividades Referentes à Saúde                              "
"194407","Multas e Juros de Mora de Amortização de Financiamentos               "
"194999","Multas e Juros de Outras Receitas de Capital                          "
"194406","Multas e Juros de Mora de Amortização de Empréstimos Contratuais      "
"173299","Outras Transferências de Convênios dos Municípios e de Suas Entidades "
"192213","Restituição de Contribuições para a Previdência Complementar do Servid"
"194100","Multas e Juros de Mora das Alienações de Bens Móveis                  "
"194102","Multas e Juros da Alienação de Estoques                               "
"171500","Transferências de Recursos de Complementação da União ao Fundo de Manu"
"172900","Outras Transferências dos Estados e Distrito Federal                  "
"122199","Outras Contribuições Econômicas                                       "
"171452","Transferências Diretas do FNDE referentes ao Programa Nacional de Alim"
"172100","Participação na Receita dos Estados e Distrito Federal                "
"172151","Cota-Parte do IPVA                                                    "
"172999","Outras Transferências dos Estados e DF                                "
"122150","Contribuições Econômicas sobre Commodities                            "
"173150","Transferências de Recursos do Sistema Único de Saúde - SUS            "
"211252","Operações de Crédito Internas para Programas de Saneamento            "
"211253","Operações de Crédito Internas para Programas de Meio Ambiente         "
"761103","Serviços de Registro, Certificação e Fiscalização                     "
"772999","Outras Transferências dos Estados e DF                                "
"763201","Serviços de Assistência à Saúde Suplementar do Servidor Civil         "
"221100","Alienação de Títulos, Valores Mobiliários e Aplicações Congêneres     "
"212201","Operações de Crédito Contratuais - Mercado Externo                    "
"212252","Operações de Crédito Externas para Programas de Saneamento            "
"772900","Outras Transferências dos Estados e Distrito Federal                  "
"211250","Operações de Crédito Internas para Programas de Educação              "
"711400","Impostos sobre a Produção, Circulação de Mercadorias e Serviços       "
"245101","Transferências de Outras Instituições Públicas                        "
"249100","Transferências de Pessoas Físicas                                     "
"249200","Transferências Provenientes de Depósitos Não Identificados            "
"291100","Integralização de Capital Social                                      "
"249900","Outras Transferências de Capital                                      "
"711251","Imposto sobre a Propriedade de Veículos Automotores                   "
"171962","Transferência da Compensação Financeira das Perdas com Arrecadação de "
"194299","Outras Multas e Juros de Mora de Alienações de Bens Imóveis           "
"194301","Multas e Juros da Alienação de Bens Intangíveis                       "
"194401","Multas e Juros de Amortização de Empréstimos - BEA/BIB                "
"194404","Multas e Juros de Mora de Amortização de Empréstimos - Refinanciamento"
"762100","Serviços e Atividades Referentes à Navegação e ao Transporte          "
"249201","Transferências Provenientes de Depósitos Não Identificados            "
"171399","Outras Transferências de Recursos do Sistema Único de Saúde - SUS     "
"199909","Prestação de Contas Eleitorais                                        "
