"COFONTE","NOFONTE","INTIPOFONTE","INFONTETESOURO","INSTATUS","ULTALTERACAO","TXDESCRICAO","INDESTINACAO","COFONTEFEDERAL"
332002695,"CONV. 000010/00 - GDF/SSP/ MJ - 1911198           ","9","N",0,"20220805170627 99999999999","EXECUÇÃO DAS OBRAS DE CONSTRUÇÃO DE DELEGACIAS POLICIAIS EM CEILÂNDIA E PLANALTINA, DO QUARTEL DA POLICIA MILITAR EM SANTA MARIA E AQUISIÇÃO DE VIATURAS E EQUIPAMENTOS PARA AS POLICIAS CIVIL E MILITAR DO - DF.                                         ",2,2700
332002919,"CONV. 000202/01 - GDF/SSP/MJ - 1911937            ","9","N",0,"20241218133017 03589980184","CONSTRUÇÃO DOS BLOCOS A e B - RECEPÇÃO, REVISTA E ADMINISTRAÇÃO DA PENITENCIÁRIA  P III - C - DF.                                                                                                                                                         ",2,2700
332002864,"CONV. 000014/01 - GDF/SSP/MJ - 1911724            ","9","N",0,"20241218132756 03589980184","TREINAMENTO DE INSTRUTORES POLICIAIS.                                                                                                                                                                                                                     ",2,2700
321002919,"CONV. 000202/01 - GDF/SSP/MJ - 1911937            ","9","N",0,"20241210150026 03589980184","CONSTRUÇÃO DOS BLOCOS A e B - RECEPÇÃO, REVISTA E ADMINISTRAÇÃO DA PENITENCIÁRIA  P III - C - DF.                                                                                                                                                         ",2,2700
321002695,"CONV. 000010/00 - GDF/SSP/MJ - 1911198            ","9","N",0,"20220805170627 99999999999","EXECUÇÃO DAS OBRAS DE CONSTRUÇÃO DE DELEGACIAS POLICIAIS EM CEILÂNDIA E PLANALTINA, DO QUARTEL DA POLICIA MILITAR EM SANTA MARIA E AQUISIÇÃO DE VIATURAS E EQUIPAMENTOS PARA AS POLICIAS CIVIL E MILITAR DO - DF.                                         ",2,2700
332002928,"CONV. 000209/01 - GDF/SSP/MJ - 1911953            ","9","N",0,"20241218133026 03589980184","AQUISIÇÃO DE EQUIPAMENTOS DO SISTEMA DE DETECÇÃO DE METAIS - DF.                                                                                                                                                                                          ",2,2700
321002864,"CONV. 000014/01 - GDF/SSP/MJ - 1911724            ","9","N",0,"20241210145724 03589980184","TREINAMENTO DE INSTRUMENTO POLICIAIS.                                                                                                                                                                                                                     ",2,2700
321002928,"CONV. 000209/01 - GDF/SSP/MJ - 1911953            ","9","N",0,"20241210150035 03589980184","AQUISIÇÃO DE EQUIPAMENTOS DO SISTEMA DE DETECÇÃO DE METAIS - DF.                                                                                                                                                                                          ",2,2700
332002833,"CONV. 000060/01 - GDF/SSP/MJ - 19111317           ","9","N",0,"20220805170627 99999999999","EXECUÇÃO DO PROGRAMA DE MUTIRÃO NA EXECUÇÃO PENAL - DF.                                                                                                                                                                                                   ",2,2700
321002833,"CONV. 000060/01 - GDF/SSP/MJ - 19111317           ","9","N",0,"20220805170627 99999999999","EXECUÇÃO DO PROGRAMA DE MUTIRÃO NA EXECUÇÃO PENAL - DF.                                                                                                                                                                                                   ",2,2700
332002863,"CONV. 000015/01 - GDF/SSP/MJ - 19100732           ","9","N",0,"20220805170627 99999999999","REAPARELHAMENTO DAS POLICIAS ESTADUAIS.                                                                                                                                                                                                                   ",2,2700
321002863,"CONV. 000015/01 - GDF/SSP/MJ - 19111732           ","9","N",0,"20220805170627 99999999999","REAPARELHAMENTO DAS POLICIAS ESTADUAIS.                                                                                                                                                                                                                   ",2,2700
321002865,"CONV. 000013/01 - GDF/SSP/MJ - 19117559           ","9","N",0,"20241210145747 03589980184","IMPLANTAÇÃO DA POLICIA COMUNITÁRIA.                                                                                                                                                                                                                       ",2,2700
321002154,"CONV. 001541/98 - GDF/ISDF/FNS/MS - 4596943       ","9","N",0,"20220805170627 99999999999","CONVÊNIO 98/01541 - FNS/ISDF                                                                                                                                                                                                                              ",2,2700
321002198,"CONV. 002420/98 - GDF/SES/FNS/MS - 4597621        ","9","N",0,"20241210143644 03589980184","IMPLEMENTAÇÃO DE AÇÕES DE VIGILANCIA EPIDEMOLÓGICA E CONTROLE ENTOMOLÓGICO DA DENGUE.                                                                                                                                                                     ",2,2700
321002252,"CONV. 002885/98 - GDF/SES/FNS/MS - 190945-2       ","9","N",0,"20241210143655 03589980184","CONVENIO CELEBRADO ENTRE MS E FHDF, VISANDO O FORTALECIMENTO DA INFRAESTRUTURA DO SERVIÇO DE SANGUE E HEMODERIVADOS.                                                                                                                                      ",2,2700
321002253,"CONV. 003172/98 - GDF/SES/FNS/MS - 190952-5       ","9","N",0,"20241210143711 03589980184","AQUISICAO DE EQUIPAMENTOS PARA ADQUAR A OFICINA ORTESE E PROTESES, VISANDO A FORTALECER O DESENVOLVIMENTO.                                                                                                                                                ",2,2700
321002254,"CONV. 001147/98 - GDF/SES/ISDF/FNS/MS - 191000-0  ","9","N",0,"20220805170627 99999999999","CONVÊNIO SS/FS/FNS                                                                                                                                                                                                                                        ",2,2700
321002268,"CONV. 000120/99 - GDF/SES/FNS/MS - 191054-X       ","9","N",0,"20220805170627 99999999999","CONVÊNIO 99/120 - FNS/SES                                                                                                                                                                                                                                 ",2,2700
321002941,"CONV. 000077/01 - GDF/SE/FNS/MS - 5855-6          ","9","N",0,"20241210153537 03589980184","EXECUÇÃO DA ESTRUTURAÇÃO E IMPLEMENTAÇÃO DO SISTEMA NACIONAL DE VIGILÂNCIA EM SAÚDE - VISIGUS NO ESTADO DO DISTRITO FEDERAL.                                                                                                                              ",2,2700
332002916,"CONV. 000582/01 - GDF/SES/FNS/MS - 5894-7         ","9","N",0,"20220805170627 99999999999","AQUISIÇÃO DE EQUIPAMENTOS PARA O PROGRAMA DE HUMANIZAÇÃO NO PRÉ-NATAL E NASCIMENTO NO ÂMBITO DO HOSPITAL REGIONAL DE CEILÂNDIA-SUS.                                                                                                                       ",2,2700
232002949,"CONV. 000237/01 - GDF/FUNAP/MJ - 191148-1         ","9","N",0,"20241209170631 03589980184","COOPERAÇÃO DOS PARTÍCIPES NA EXECUÇÃO DO PROGRAMA DE PROFISSIONALIZAÇÃO DOS DETENTOS DO DF - PROFISSIONALIZAÇÃO DE REEDUCANDOS.                                                                                                                           ",2,1700
232002947,"CONV. 002947/01 - GDF/EMATER/INCRA - 45870-8      ","9","N",0,"20241209170603 03589980184","EXECUÇÃO DE ASSISTÊNCIA TÉCNICA PARA 427 FAMÍLIAS NOS PROJETOS DE ASSENTAMENTO: CIGANO,COLÔNIA I, CONTAGEM, RECANTO DA CONQUISTA, SANTO ANTÔNIO DAS BRANCAS, SÍTIO NOVO, TERRA CONQUISTA, TRÊS CONQUISTAS, UNIÃO FLOR DA SERRA E VEREDA I.                ",2,1700
